LP,Nazwa,ISIN,Cena K,Cena S,Rent.K,Rent.S,Cena fix,Rent fix,Date
8,OK0128,PL0000118089,93.76,93.87,3.43,3.36,93.82,3.39,2026-02-24
9,WS0428,PL0000107611,98.49,98.62,3.48,3.42,98.56,3.45,2026-02-24
10,WZ0528,PL0000110383,99.94,100.07,-,-,100.01,-,2026-02-24
11,PS0728,PL0000115192,108.93,109.04,3.55,3.50,108.99,3.52,2026-02-24
12,WZ1128,PL0000115697,99.62,99.74,-,-,99.68,-,2026-02-24
13,WS0429,PL0000105391,105.67,105.80,3.80,3.76,105.74,3.78,2026-02-24
14,PS0729,PL0000116760,102.72,102.84,3.87,3.84,102.78,3.85,2026-02-24
15,DS1029,PL0000111498,96.09,96.24,3.91,3.87,96.17,3.89,2026-02-24
16,WZ1129,PL0000111928,98.82,99.03,-,-,98.93,-,2026-02-24
17,PS0130,PL0000117370,103.44,103.54,4.03,4.00,103.49,4.01,2026-02-24
18,WZ0330,PL0000117198,98.43,98.62,-,-,98.53,-,2026-02-24
19,PS0730,PL0000117990,101.43,101.56,4.13,4.10,101.50,4.11,2026-02-24
20,WZ0930,PL0000118170,98.06,98.19,-,-,98.13,-,2026-02-24
21,DS1030,PL0000112736,87.81,87.98,4.18,4.13,87.90,4.16,2026-02-24
22,PS0131,PL0000118519,101.07,101.15,4.25,4.23,101.11,4.24,2026-02-24
23,WZ1131,PL0000113213,97.53,97.85,-,-,97.69,-,2026-02-24
24,DS0432,PL0000113783,85.66,85.79,4.46,4.43,85.73,4.44,2026-02-24
25,DS1033,PL0000115291,108.37,108.49,4.67,4.65,108.43,4.66,2026-02-24
26,DS1034,PL0000116851,101.15,101.32,4.83,4.80,101.24,4.81,2026-02-24
27,DS1035,PL0000118188,100.27,100.40,4.96,4.94,100.34,4.95,2026-02-24
28,IZ0836,PL0000117024,93.82,94.21,-,-,94.02,-,2026-02-24
